No.,Gene,Log(FC),Adj-Pvalue,HR,Adj-Pvalue
3130,ZWILCH,-0.225928234,0.000715578,1.304,0.01936
3131,ZNF18,-0.193186111,0.000715745,1.807,0.0000158
3132,HSDL2,0.300380619,0.000717511,0.7544,0.0000996
3133,LINC00243,-0.523802484,0.0007189,1.196,0.003748
3134,SLC3A1,0.504687671,0.000719379,0.8254,9.58E-11
3135,RP4-635E18.6,-0.443040576,0.000720605,0,0
3136,RP11-65J3.3,0.687455178,0.000720962,0,0
3137,AXIN1,-0.200803083,0.000722293,1.371,0.01211
3138,ERC2,-0.687575698,0.000723963,1.149,0.0005357
3139,WT1-AS,-0.982933863,0.000726243,1.125,0.000042
3140,SGCB,0.267199716,0.000726865,0.7511,0.00000256
3141,RP11-449G16.1,0.67118814,0.000727033,0,0
3142,HMGB3P32,-0.601667402,0.000727271,1.081,0.1318
3143,MOXD1,-0.70993102,0.000728151,1.044,0.1819
3144,PLCD1,0.234349321,0.000728493,0.8893,0.1513
3145,MIR4500HG,-1.042805104,0.000731957,1.041,0.2135
3146,ZMAT3,0.287380244,0.000733188,0.8847,0.1257
3147,CCNO,-0.919192637,0.000734645,1.138,0.0000191
3148,LINC00943,-0.600752843,0.000737498,1.143,0.000957
3149,INSL3,-0.593298277,0.000738026,1.234,0.0000195
3150,ZFP37,0.336880448,0.000738201,0.8784,0.03124
3151,DNMT1,-0.203457745,0.000739688,1.151,0.1559
3152,RP11-932O9.10,-0.625247809,0.000742441,0,0
3153,OTOGL,0.532297491,0.000743095,0.8482,0.0000792
3154,TMEM72-AS1,-0.40231248,0.000743342,1.063,0.2722
3155,BTNL9,0.542423607,0.000744708,0.8852,0.002329
3156,DIRAS3,0.550277103,0.000746586,0.9697,0.4868
3157,SLC22A16,0.677693396,0.000746713,0.9888,0.8042
3158,DCTN1-AS1,0.596009847,0.000748722,1.046,0.4769
3159,BCL9,0.199339526,0.000749179,0.9018,0.193
3160,ZNF695,-0.548614322,0.000749726,1.199,0.003293
3161,IPO11,0.234574448,0.000749841,0.7201,0.0000381
3162,HOXB-AS3,0.686355198,0.0007499,1.018,0.6241
3163,APPL1,0.226147822,0.000750528,0.7621,0.0002602
3164,ADRB1,0.769236652,0.000754084,1.043,0.2492
3165,AC005481.5,-0.669192094,0.000754086,0,0
3166,WIPF2,0.142558897,0.000754287,0.7815,0.01139
3167,ZNF223,0.223120369,0.000754511,0.874,0.06597
3168,ROCK2,0.217342733,0.000755805,0.8298,0.01652
3169,RP11-578F21.9,-0.516430957,0.000756776,0,0
3170,C2CD4B,-0.667191144,0.000756894,1.17,0.0003314
3171,RP11-156P1.3,0.23020499,0.000756947,0,0
3172,TESK2,0.229179393,0.000757018,0.8009,0.005195
3173,STRN,0.208535822,0.000757299,0.8396,0.01758
3174,RYR2,-0.792882915,0.000758171,1.19,3.33E-07
3175,IGKV3-20,-0.955610219,0.00075972,1.066,0.01768
3176,GPR111,1.040137532,0.000762552,0.9892,0.7184
3177,CENPCP1,0.681789266,0.000763203,0.7948,0.0009401
3178,DCTN6,0.214817694,0.000765086,0.793,0.003615
3179,RP11-309L24.4,-0.624822353,0.000766122,0,0
3180,TYK2,-0.176538584,0.000773504,1.319,0.02397
3181,GIN1,0.202897913,0.000774081,0.7665,0.0003459
3182,EIF4EP2,0.415172354,0.000775264,0.8607,0.01343
3183,CXCR5,-0.661867402,0.000776064,1.144,0.01373
3184,PI3,-1.118682871,0.000776747,1.177,4.98E-12
3185,BCKDHA,0.273883368,0.000777029,0.794,0.0003225
3186,DUSP6,0.296556469,0.000778243,0.8866,0.09053
3187,ZEB1,0.301842514,0.000778402,0.8296,0.005471
3188,ZNF181,0.191836455,0.000779499,0.8075,0.01253
3189,AC068196.1,-0.691252767,0.000780056,0,0
3190,KLHL30-AS1,0.724819939,0.000782823,1.005,0.9187
3191,CTA-384D8.34,-0.684595193,0.00078676,0,0
3192,CTD-2245E15.3,0.57406398,0.000787694,0,0
3193,LEMD3,0.177542885,0.000788123,0.8027,0.02059
3194,USB1,-0.190934669,0.00078919,1.737,0.0000113
3195,ALG11,0.252921522,0.000789397,0.752,0.0000722
3196,CTD-2007H13.3,-0.391831682,0.000789462,0,0
3197,CD5,-0.448190252,0.000790949,1.064,0.1712
3198,ZNF776,0.18689234,0.000794899,0.7876,0.003012
3199,AC104654.2,-0.923661923,0.000794909,0,0
3200,GRAMD1A,-0.228940265,0.000795003,1.604,0.0000245
3201,KB-318B8.7,0.586797646,0.000795334,0.9274,0.1013
3202,DYNLL1,-0.197919597,0.000795788,1.309,0.05177
3203,CDC42BPA,0.247244115,0.000796234,0.8245,0.00507
3204,FUBP3,0.150155749,0.000796999,0.8483,0.07126
3205,CTD-3222D19.12,-0.455600528,0.000798476,0,0
3206,RP11-203J24.9,-0.539992232,0.00079876,0,0
3207,IQSEC1,0.203048577,0.000799748,0.8017,0.01069
3208,RMST,0.848695107,0.000800734,0.8938,0.0005615
3209,AGGF1P3,-0.725474267,0.00080299,1.112,0.04382
3210,RPP40,-0.247407753,0.000803422,1.638,0.0000469
3211,COPG1,-0.194493797,0.000803924,1.235,0.08539
3212,RP11-58E21.3,-0.459902492,0.000804152,0,0
3213,RP11-541N10.3,0.200640853,0.00080416,0,0
3214,KLHL32,0.443269867,0.000805297,0.8218,0.00000271
3215,ALDH18A1,-0.231573674,0.000805404,1.365,0.003643
3216,AC022182.3,-0.375202996,0.000805448,0,0
3217,RARRES2,-0.48698869,0.000806289,1.171,0.006648
3218,TBL2,-0.195716679,0.000806937,1.273,0.05306
3219,CTD-2001C12.1,0.514097403,0.000807103,0,0
3220,RP11-731D1.4,0.455670223,0.000808918,0,0
3221,RP11-21L23.3,-0.652902141,0.000809446,0,0
3222,FBXO3,0.189841088,0.000809928,0.7491,0.0002279
3223,RPL5P30,0.376565622,0.000811276,0.9171,0.2139
3224,RP11-106M7.1,0.699661921,0.000811567,0,0
3225,LAPTM5,-0.359448802,0.000811898,1.083,0.1305
3226,SLC25A46,0.212781991,0.000813007,0.7269,0.0006077
3227,CCR5,-0.502446226,0.000814492,1.04,0.3175
3228,ZDHHC16,-0.16791858,0.000814827,1.353,0.02622
3229,TTC28,0.235146714,0.000815223,0.7838,0.0006054
3230,GGCT,-0.228537244,0.000816573,1.447,0.005054
3231,CTB-129O4.1,-0.525436254,0.000817118,0,0
3232,SHISA5,-0.184430544,0.000817959,1.571,0.001097
3233,CHST11,-0.315678453,0.000819579,1.237,0.002493
3234,GYPE,0.402293802,0.000823295,0.8992,0.08699
3235,RP11-680F8.4,0.675114426,0.00082362,0,0
3236,ZNF329,0.227032556,0.000823679,0.7514,0.0001119
3237,ABHD17B,0.215663721,0.000823923,0.7654,0.0003339
3238,KLRC4-KLRK1,-0.597296872,0.000824473,1.091,0.05515
3239,EBLN3,0.219300483,0.000826963,0.8547,0.04506
3240,RP11-1094H24.4,-0.419536105,0.000828509,0,0
3241,RPS3AP26,0.436626018,0.000828515,0.8482,0.03855
3242,RASIP1,0.372135386,0.000828806,0.7955,0.0001792
3243,ZBTB20,0.443479107,0.000831236,0.7802,0.0001242
3244,RP11-79P5.9,-0.345082589,0.000832261,0,0
3245,ICOS,-0.569689349,0.000833746,1.048,0.1898
3246,RRAS,-0.326097157,0.00083594,1.564,0.0000201
3247,EIF4EBP1,-0.434592463,0.000836663,1.381,5.85E-07
3248,ACHE,-0.655417389,0.00083696,1.325,2.94E-10
3249,LINC00528,-0.385467553,0.000840342,1.172,0.01275
3250,ATL2,0.197394791,0.000841171,0.8764,0.1399
3251,RP11-50C13.1,-0.294392231,0.000841411,0,0
3252,TFE3,-0.175593667,0.000843027,1.321,0.02957
3253,NOL4L,0.202982108,0.000843097,0.9584,0.6625
3254,TMEM57,0.140832889,0.000843576,0.7424,0.001448
3255,UBR1,0.217514827,0.000846129,0.7936,0.00166
3256,RP11-609D21.3,-0.561937913,0.000848456,0,0
3257,C15orf59,0.718091299,0.000848513,0.9545,0.1742
3258,IFT20,-0.172288928,0.000849951,1.97,0.0000128
3259,RP11-427M20.1,0.556120438,0.000851533,0,0
3260,NDE1,-0.178957577,0.000853561,1.128,0.2585
3261,MLLT11,-0.455944555,0.000854193,1.491,1.27E-11
3262,ZNF829,0.305026903,0.000856111,0.7721,0.0002847
3263,RP11-802E16.3,-0.53443578,0.000857012,0,0
3264,CCAT1,-0.661990404,0.000857095,1.178,0.0002526
3265,SCRN3,0.197503248,0.000857382,0.797,0.004516
3266,RNF11,0.211280147,0.000857637,0.7746,0.001939
3267,COTL1,-0.274603909,0.000858495,1.009,0.9066
3268,TYRO3,-0.345466388,0.000859653,1.042,0.4596
3269,TMEM79,-0.210885537,0.000860391,1.559,0.0004382
3270,PHTF1,-0.181973495,0.000861196,1.28,0.03527
3271,ESPNP,0.798702297,0.0008613,0.9291,0.06094
3272,CKAP5,-0.180113318,0.000861851,1.1,0.3793
3273,ZNF706,-0.166949983,0.000862424,1.744,0.0007348
3274,EED,-0.156746222,0.000863781,1.537,0.004907
3275,SNHG17,-0.315191543,0.000864014,1.839,9.02E-12
3276,RP5-1009E24.9,-0.560971787,0.000867531,0,0
3277,NUP93,-0.161749299,0.000868447,1.279,0.03297
3278,RP1-92O14.6,-0.479244313,0.000868913,0,0
3279,CTD-3247F14.2,0.754965074,0.000869218,0,0
3280,WBSCR22,-0.206002705,0.000871692,2.057,0.00000175
3281,ADRBK1,-0.189196914,0.000872039,1.327,0.01588
3282,CD6,-0.427529588,0.000872076,1.071,0.1577
3283,POLR2H,-0.22757288,0.000872263,1.824,0.00000714
3284,SLC2A9,0.438569989,0.000872384,0.7497,1.31E-09
3285,FRRS1,-0.436624805,0.000873514,0.9662,0.547
3286,CHEK1,-0.267245913,0.000873675,1.297,0.01088
3287,ACPT,-0.538660355,0.000874256,1.199,0.005063
3288,HSP90AB2P,0.44874956,0.000877198,0.8544,0.00171
3289,RP11-295P9.8,0.480584096,0.000878866,0,0
3290,AC010226.4,-0.286433855,0.000879097,0,0
3291,PECAM1,0.337793082,0.000879148,0.7788,0.00001
3292,HOXA6,0.381513332,0.000879463,0.9058,0.04382
3293,PJA2,0.236019559,0.000880575,0.7865,0.0003616
3294,STK4,-0.196238375,0.000882196,1.069,0.5029
3295,PPOX,-0.241113247,0.000882406,1.504,0.001068
3296,TLE2,0.387602984,0.000882429,0.9129,0.1633
3297,PACS1,-0.176146978,0.000883105,1.232,0.1096
3298,ATP8B3,-0.692686356,0.000884759,1.148,0.000121
3299,DGKA,-0.328315074,0.000886495,1.309,0.0004775
3300,PLCH2,0.655057322,0.000886951,0.9303,0.03895
3301,TRABD2A,-0.628646898,0.000887001,1.184,0.0002803
3302,MTERF4,0.15338279,0.000887496,0.889,0.2496
3303,CREB3L1,-0.751453904,0.000888579,1.142,0.0006257
3304,LGALS3BP,-0.357282964,0.000888727,1.515,0.00000152
3305,PTCH1,0.291102438,0.000891061,0.8314,0.005886
3306,CENPV,0.451986775,0.000891631,0.9142,0.07264
3307,LRRC14B,0.914138861,0.000894268,1.018,0.5659
3308,DGUOK,-0.209123744,0.00089536,1.956,0.00000948
3309,AP1M1,-0.189629002,0.000895801,1.377,0.01977
3310,SRBD1,0.172877264,0.000896005,0.7522,0.001375
3311,CNBD2,0.344352197,0.000897039,0.8141,0.007112
3312,NMD3P1,0.539163573,0.000897158,0.8071,0.0000495
3313,RP11-203F10.5,0.771753463,0.000897406,0,0
3314,DLG1-AS1,-0.613549109,0.000898243,1.126,0.01155
3315,RP11-631N16.4,-0.564433706,0.000898664,0,0
3316,METTL25,0.200198018,0.00089879,0.7503,0.002754
3317,SESN1,0.239721468,0.00089909,0.7625,0.002755
3318,GYG2,-0.903910139,0.000899641,1.151,0.00000128
3319,FILIP1L,0.424514278,0.000899863,0.9027,0.05462
3320,CD86,-0.379046682,0.000902083,1.067,0.2063
3321,CTU1,-0.299223039,0.000902874,1.427,0.0006639
3322,RP1-102E24.10,-0.404232218,0.000903582,0,0
3323,MYO16,0.734359572,0.000903854,1.053,0.2338
3324,LINC00484,0.701878006,0.000904173,0.961,0.396
3325,SLC19A2,0.520145476,0.000905913,0.9666,0.5564
3326,AC093901.1,-0.511719539,0.000905978,0,0
3327,LINC01018,0.922820081,0.000908119,0.9957,0.8731
3328,AC007461.2,0.586875777,0.000909264,0,0
3329,ECE2,-0.385284651,0.000909294,1.465,0.00000226
3330,RXRA,0.234880741,0.000909549,0.7882,0.006273
3331,RP11-610P16.1,0.415331679,0.000909912,0,0
3332,CSMD1,0.711705182,0.000910148,0.9248,0.01497
3333,SCAMP1,0.290646754,0.000910263,0.7852,0.001685
3334,ASH1L,0.243880579,0.000910372,0.8295,0.003071
3335,NUDT17,-0.355351931,0.000910482,1.464,0.00000137
3336,DMRTA1,0.427296963,0.000911072,0.8004,2.89E-09
3337,TP63,-0.482279684,0.000911594,1.01,0.8636
3338,MPDZ,0.289416729,0.000914273,0.8341,0.00282
3339,LEF1,-0.610900576,0.00091571,1.161,0.001851
3340,PACSIN2,0.239888893,0.000915778,0.8176,0.01607
3341,UGT8,0.505652149,0.000915951,0.8526,0.0004127
3342,UNC93B1,-0.243573181,0.000916508,1.323,0.007079
3343,WWP2,0.198708661,0.000916531,0.8178,0.01957
3344,SNX18,0.247093515,0.000918539,0.8089,0.002765
3345,ADAMTS14,-0.656399828,0.000919673,1.298,3.37E-11
3346,OSCAR,-0.390380045,0.000921027,1.25,0.0000972
3347,RP11-556E13.1,-0.577724754,0.000921491,0,0
3348,SLC25A25,0.352750503,0.000923803,0.9163,0.1114
3349,CTC-550B14.7,0.49107801,0.000923944,0,0
3350,PLD1,0.241349954,0.000924238,0.8057,0.002455
3351,ZNF107,-0.282804013,0.000924544,1.347,0.00348
3352,PSTPIP2,-0.329128664,0.000925039,1.189,0.02518
3353,GNA12,-0.189905906,0.000926434,1.105,0.3638
3354,TAB3,0.215257675,0.000926505,0.8401,0.0397
3355,B3GNT2,0.208860608,0.000926625,0.8166,0.01329
3356,CTD-2031P19.4,0.418799627,0.000928172,0,0
3357,RP11-363E7.4,0.270768266,0.000934646,0,0
3358,SIGLEC16,-0.480530492,0.000934756,1.097,0.1051
3359,LINC00240,-0.420800804,0.000935188,1.139,0.03515
3360,ARL4C,-0.495300383,0.000936425,1.25,0.0000149
3361,TTC19,0.151268076,0.000939357,0.8152,0.03578
3362,C1orf194,-0.657655408,0.000939534,1.333,2.87E-07
3363,AP000230.1,0.531443569,0.000941218,0,0
3364,MEGF6,-0.459809472,0.00094152,1.088,0.1199
3365,AP000580.1,-0.372635888,0.000943297,0,0
3366,RP11-864I4.3,0.692343816,0.000944509,0,0
3367,PSMD14,-0.215650193,0.000945296,1.429,0.005076
3368,GYPA,0.854166933,0.000947421,0.8743,0.0000183
3369,FHL5,0.47779197,0.000947472,0.8162,4.83E-07
3370,THEMIS2,-0.328917297,0.000947772,1.156,0.01463
3371,PSMD2,-0.1870452,0.000948482,1.172,0.1671
3372,ESPL1,-0.394679452,0.000948634,1.108,0.08773
3373,TLCD1,-0.475971915,0.000949713,1.37,1.03E-07
3374,NCF4,-0.363882425,0.000950682,1.263,0.0002902
3375,LURAP1L,0.348247158,0.000951667,0.8048,0.0009102
3376,RP11-455F5.5,-0.542709984,0.000952372,0,0
3377,HTR3A,-1.023826715,0.000952484,1.231,1.14E-09
3378,RP3-454B23.1,0.44794013,0.00095321,0,0
3379,MTATP8P2,0.737774532,0.000954714,0.9911,0.8373
3380,RP4-794I6.4,0.535378208,0.000954919,0,0
3381,PSMG3,-0.311771044,0.000956986,1.855,7.72E-08
3382,ZNF737,0.297261501,0.00095811,0.8049,0.0007464
3383,TXNDC16,0.299967827,0.000958228,0.7636,0.0000184
3384,ANO3,0.541861398,0.000959084,0.839,1.49E-07
3385,VPS37B,0.256387954,0.000963205,0.9626,0.6962
3386,LIFR-AS1,0.354047432,0.00096676,0.8468,0.00166
3387,AKAP8L,-0.237254314,0.000966916,1.752,0.00000143
3388,MPP5,0.267784047,0.000968851,0.7447,0.00000735
3389,CEP89,-0.143633667,0.00096923,1.151,0.2717
3390,RP4-785G19.5,-0.456296501,0.000971993,0,0
3391,LMO7,0.321389285,0.000975161,0.8231,0.0006621
3392,SOS1,0.187518989,0.000976107,0.8405,0.02765
3393,ST3GAL4,0.451488172,0.000976768,1.037,0.5606
3394,AC010890.1,0.707059584,0.000980411,0,0
3395,RP11-273B20.1,-0.357132316,0.00098079,0,0
3396,VKORC1,-0.326299147,0.000980992,1.473,0.0000552
3397,RBMS1P1,0.358120428,0.000981794,0.8608,0.01436
3398,GABARAPL1,0.406946314,0.000982307,0.9264,0.2127
3399,CDS1,0.412571422,0.00098342,0.8016,0.0000285
3400,PLEKHF1,-0.362387697,0.000983541,1.359,0.0000988
3401,LAT2,-0.316262679,0.000985735,1.136,0.03695
3402,VWA3B,-0.600871103,0.000985944,1.179,0.0001452
3403,LIG1,-0.20880996,0.000986254,1.204,0.0583
3404,ARPC5,-0.184578951,0.00098686,1.389,0.01112
3405,KNTC1,-0.296514886,0.000987199,1.461,0.0000257
3406,LPCAT4,-0.217678139,0.000988343,1.737,0.00000551
3407,ADNP2,0.189528547,0.000988595,0.8665,0.09249
3408,RP11-748H22.1,0.488157458,0.000991648,0,0
3409,RP11-59N23.3,0.675625146,0.000993304,0,0
3410,CD79A,-0.79346259,0.000995617,1.081,0.02861
3411,FADD,-0.198610799,0.000996772,1.006,0.9517
3412,CCDC42,-0.508503992,0.001000806,1.218,0.00155
3413,FAM73A,0.236276305,0.001001044,0.6804,0.00000727
3414,CFL2,0.302610995,0.001004288,0.8259,0.01678
3415,C16orf52,0.18892345,0.001004825,0.8525,0.07595
3416,RP11-783K16.13,-0.35210631,0.00100491,0,0
3417,MRGBP,-0.19761583,0.001006746,1.879,0.00000685
3418,UQCRC2,0.251315873,0.001008067,0.8568,0.057
3419,RGS5,0.491513411,0.001009558,1.178,0.0632
3420,MBD6,-0.196694736,0.001012914,1.316,0.01763
3421,AC006116.20,0.392093047,0.001013227,0,0
3422,DCTN3,0.230122147,0.001013377,0.7418,0.0009241
3423,RP4-657E11.10,0.357409153,0.001015354,0,0
3424,EBF2,0.486147868,0.001015467,0.9637,0.3767
3425,PPP1R3F,-0.233452278,0.00101547,1.278,0.0000447
3426,CTA-221G9.12,0.432035253,0.001016093,0,0
3427,COX11,0.179451266,0.001016627,0.8,0.01843
3428,OGFR,-0.230070365,0.00101705,1.309,0.01699
3429,RP11-93H24.3,-0.50695358,0.001017072,0,0
3430,SPAG16,0.223884668,0.00101757,0.8065,0.01065
3431,KIAA1143,0.186605271,0.00101922,0.7898,0.002901
3432,TIMP1,-0.472996412,0.001019539,1.372,9.74E-08
3433,C1orf159,-0.299595094,0.001021197,1.67,9.39E-07
3434,ZNF525,0.256236427,0.001022235,0.8008,0.008492
3435,C1QC,-0.426187391,0.001022789,1.077,0.1008
3436,F11-AS1,0.859973375,0.001023287,0.9504,0.0717
3437,RP11-555K12.1,-0.601179628,0.001023911,0,0
3438,ZNF833P,0.376256109,0.001023962,0.8218,0.001198
3439,KLHL7,0.180677972,0.001024504,0.7735,0.008561
3440,CALU,-0.285680283,0.001025416,1.205,0.03633
3441,RP5-875H18.9,-0.7709128,0.001025734,0,0
3442,RP5-827C21.4,-0.374360136,0.001025892,0,0
3443,HPCAL4,-0.851518258,0.001027035,1.012,0.6519
3444,GTF3C4,0.205475769,0.001027439,0.7925,0.002832
3445,RP11-496H1.2,-0.42053742,0.001029318,0,0
3446,ICAM1,-0.356017589,0.00102951,1.162,0.01849
3447,GUCY2C,0.423788935,0.00103002,0.9396,0.344
3448,MSANTD4,0.18529821,0.00103197,0.8224,0.02586
3449,DOCK1,0.204003464,0.001033762,0.836,0.00713
3450,GCLC,0.244886007,0.001034245,0.7581,0.0002018
3451,ERRFI1,0.487919445,0.001034748,0.9018,0.0195
3452,NRXN1,0.849942807,0.001035203,1.023,0.4974
3453,DDHD2,0.204022368,0.001035697,0.8271,0.01829
3454,AC096574.5,0.529983163,0.001037888,0,0
3455,CCDC74B,-0.514625541,0.001039202,1.206,0.0003169
3456,SH3YL1,0.312754627,0.001039244,0.7601,0.00000935
3457,TGFA,0.443707497,0.00104199,0.9178,0.0256
3458,EMP1,0.394087266,0.001042579,0.9139,0.09918
3459,RP11-496I2.5,-0.652497386,0.001043493,0,0
3460,POLR2J,-0.331162492,0.001044034,1.501,0.0002845
3461,FAM78B,-0.461468689,0.001044742,1.327,0.0000037
3462,GOLGA7B,-0.589693816,0.001046129,1.126,0.002006
3463,SIRT7,-0.238223775,0.001047198,1.811,6.78E-07
3464,BMP4,0.498038438,0.00104735,0.9109,0.0505
3465,OGDHL,0.699677216,0.001049766,0.8735,0.0000294
3466,DACT2,0.967844147,0.001051569,0.9665,0.1438
3467,LSM10,-0.244505931,0.001051596,1.675,0.0001991
3468,CDH11,-0.417534001,0.001053135,1.093,0.1198
3469,RALY-AS1,-0.27072674,0.001053982,1.36,0.006045
3470,CCL17,-0.564984021,0.001061387,0.9803,0.6892
3471,DCLK3,0.536325326,0.001062969,0.9582,0.2944
3472,ANKRD46,0.231558329,0.001064133,0.7639,0.0006227
3473,SMC5,0.219719931,0.001064623,0.8755,0.1003
3474,ANKH,0.232686113,0.001067539,0.8913,0.1246
3475,RNY3P16,-0.600309408,0.001068324,1.238,0.0001506
3476,PHKG2,-0.261335546,0.001069478,1.894,6.54E-07
3477,DDAH2,-0.259409584,0.001072882,1.396,0.003567
3478,NAAA,-0.223278691,0.001073473,1.015,0.8541
3479,ELTD1,0.375763716,0.001074483,0.7967,0.0000265
3480,TMED9,-0.235359091,0.001075208,1.219,0.05966
3481,LEMD2,-0.154724804,0.00107533,1.381,0.01256
3482,LINC00094,0.18712825,0.001075573,0.8429,0.04863
3483,POU6F2,0.656138028,0.001076639,0.9361,0.1628
3484,MYO1D,0.278415396,0.001079546,0.8196,0.00515
3485,RIN2,0.218976843,0.001081379,0.7333,0.0000333
3486,NAP1L5,0.271381405,0.001082051,0.9145,0.2331
3487,DSCC1,-0.257001114,0.001082962,1.182,0.06427
3488,RP11-350N15.5,-0.315777064,0.001083323,0,0
3489,RBMXP2,0.371474385,0.001083407,0.7841,0.0001008
3490,MSI2,0.329919218,0.001083789,0.9055,0.1872
3491,RP11-17P16.1,-0.345317359,0.001084436,0,0
3492,LTV1,-0.16557995,0.001086689,1.465,0.002639
3493,RP11-305O6.4,0.537715238,0.001090014,0,0
3494,HMGA2,-1.043318444,0.001092097,1.185,4.43E-11
3495,USP21,-0.181701943,0.001094086,1.52,0.001556
3496,RP11-710F7.2,0.750809103,0.001094275,0,0
3497,SIRT1,0.195094326,0.001094659,0.7995,0.002986
3498,OXTR,-0.572170076,0.00109538,1.161,0.002775
3499,RP11-37N22.1,-0.509875338,0.001101096,0,0
3500,LRRC2,0.769792507,0.001102025,1.025,0.3502
3501,CHD9,0.235632011,0.001105297,0.7777,0.0004641
3502,RP13-188A5.1,0.214790943,0.001105427,0,0
3503,KIF16B,0.23035362,0.00110585,0.805,0.001963
3504,CDADC1,0.19638517,0.001106115,0.6882,0.0000031
3505,KIAA1958,0.265077858,0.001107226,0.8013,0.0004906
3506,AGAP3,-0.192180044,0.001108483,1.406,0.00642
3507,ZFPM1,-0.334485261,0.001108632,1.417,0.0004252
3508,C17orf67,-0.306391094,0.001114156,1.348,0.001121
3509,RUNX2,-0.383342808,0.001114688,1.259,0.0004506
3510,MCM8,-0.245501199,0.001115184,1.186,0.05404
3511,LGR4,0.335756249,0.001116179,0.8091,0.0001894
3512,PDE1C,0.523348389,0.001116885,0.8662,0.004952
3513,PSMA1,-0.173023636,0.001117389,1.615,0.002186
3514,ITGA8,0.411861891,0.001117476,0.7539,9.79E-11
3515,RP3-337H4.9,-0.436426976,0.001117587,0,0
3516,LIN54,0.208795895,0.001117635,0.7582,0.0001614
3517,RP11-168J18.6,-0.543878154,0.001118395,0,0
3518,IVNS1ABP,0.271582456,0.001118645,0.817,0.0008941
3519,TRAV6,-0.637993013,0.001120248,1.028,0.5659
3520,TRAM2-AS1,0.202752468,0.001120697,0.7612,0.001667
3521,CCDC136,-0.420634555,0.001124806,1.318,0.000017
3522,CTB-25B13.12,-0.235389754,0.001125717,0,0
3523,HEG1,0.32844023,0.001126596,0.8253,0.0008339
3524,RP4-747G18.5,-0.455937735,0.001127011,0,0
3525,SRSF8,0.15046452,0.001129273,0.7409,0.002953
3526,RP4-717I23.3,-0.40969765,0.00112943,0,0
3527,IL10RA,-0.381612246,0.001129457,1.091,0.08704
3528,RP11-777F6.3,0.443735295,0.001129921,0,0
3529,TAPT1,0.182715355,0.001131147,0.7672,0.001599
3530,ZNF765,0.194184408,0.001131653,0.819,0.05269
3531,RGS22,0.953573537,0.001131949,1.048,0.143
3532,CFAP99,-0.673465766,0.001132299,1.287,0.00000879
3533,DEFB1,0.796234789,0.001132783,0.9833,0.5782
3534,CAT,0.320343262,0.001135269,0.8223,0.0001421
3535,SPC25,-0.368097983,0.001136682,1.207,0.001697
3536,RP11-1081L13.4,0.404886933,0.001143923,0,0
3537,ZNF597,0.195402461,0.001146561,0.8392,0.04424
3538,PLXNA3,-0.302451533,0.001146853,1.254,0.004497
3539,RPS6KA6,0.726178922,0.001146986,0.9584,0.08972
3540,WARS,-0.267379946,0.001149504,0.9885,0.8945
3541,RP5-1021I20.5,0.629130531,0.00115278,0,0
3542,YIPF6,0.169151834,0.00115285,0.8084,0.02505
3543,ZNF780A,0.2071477,0.001154834,0.761,0.001606
3544,NUDT12,0.344964602,0.001155738,0.7829,0.0000756
3545,FAM63B,0.289306405,0.001159797,0.8067,0.004548
3546,KIAA1161,0.331663838,0.001161057,0.7682,0.0000013
3547,LAGE3,-0.337498385,0.001161098,1.72,2.48E-07
3548,CLN5,0.234834502,0.001161283,0.7638,0.001298
3549,NOVA2,0.352655142,0.001161923,0.813,0.0006797
3550,GCSAML,0.491137316,0.001162914,0.8576,0.00114
3551,PYGB,-0.319161952,0.001168653,1.357,0.0006499
3552,FABP7,-0.975977785,0.001168902,1.01,0.5217
3553,RP11-394B2.5,0.520245662,0.00117147,0,0
3554,BAIAP2L1,-0.505091118,0.001171707,1.306,0.00000212
3555,CDRT1,-0.574514624,0.001172519,1.183,0.005802
3556,FBXL4,0.210783388,0.001172942,0.8073,0.004529
3557,AC009014.3,-0.867044402,0.001175524,0,0
3558,EIF2AK1,-0.151516721,0.001175531,1.138,0.331
3559,PRKCDBP,-0.398029714,0.001175874,1.15,0.02294
3560,ASCL2,-0.476011127,0.001177243,1.233,0.0005384
3561,SMURF2,0.183005763,0.001180437,0.9437,0.5025
3562,DBT,0.202663104,0.001183713,0.7622,0.0004832
3563,SNORA33,-0.562124624,0.001184041,1.454,3.32E-11
