No.,Gene,Log(FC),Adj-Pvalue,HR,Adj-Pvalue
407,DNA2,-0.637168279,1.76E-07,1.352,0.00000756
408,CLDN14,-0.834885765,1.79E-07,1.125,0.001938
409,PTPRG,0.480637864,1.80E-07,0.71,7.69E-09
410,RABGAP1,0.271088753,1.81E-07,0.744,0.0003713
411,STIL,-0.455128183,1.83E-07,1.427,0.0000416
412,DSCR9,-0.741334103,1.84E-07,1.439,5.06E-09
413,RP11-742B18.1,-1.336556809,1.86E-07,0,0
414,L2HGDH,0.538056935,1.91E-07,0.7821,0.0000248
415,ERCC6L,-0.691848129,1.91E-07,1.353,0.00000468
416,CEACAM4,-0.790761004,1.92E-07,1.257,0.0000394
417,IRF7,-0.60418104,1.95E-07,1.426,0.00000179
418,IGLV6-57,-1.452496319,1.99E-07,1.079,0.005045
419,WNT11,1.082114417,2.01E-07,1.069,0.0822
420,IKBKE,-0.584234542,2.03E-07,1.556,5.56E-09
421,ITGA6,0.522899949,2.05E-07,0.7043,5.97E-10
422,NCAPD2,-0.349471754,2.07E-07,1.47,0.0009791
423,HAPLN3,-0.662447444,2.19E-07,1.298,0.00000234
424,ACSS3,0.790656885,2.20E-07,0.8267,0.00000602
425,FRMPD3,-0.939077482,2.26E-07,1.205,0.0002113
426,IGLV4-69,-1.454930315,2.27E-07,1.069,0.01485
427,ISG20,-0.562970788,2.27E-07,1.238,0.0007793
428,CENPI,-0.591886388,2.30E-07,1.255,0.001227
429,HSH2D,-0.818519971,2.34E-07,1.327,5.80E-07
430,SAMD13,0.644971627,2.34E-07,0.86,0.01412
431,UBE2C,-0.923809034,2.36E-07,1.331,1.12E-10
432,IGHM,-1.32168063,2.38E-07,1.057,0.04658
433,SLC12A8,-1.011665235,2.39E-07,1.264,5.22E-08
434,RP11-290F5.1,-1.133476918,2.39E-07,0,0
435,CA5B,0.377344353,2.45E-07,0.7169,0.0002109
436,KIF18A,-0.587217816,2.47E-07,1.404,0.00000341
437,TIMELESS,-0.3392742,2.47E-07,1.461,0.0002002
438,GLP1R,1.240959548,2.47E-07,0.918,0.02132
439,AC000123.3,-0.501296557,2.47E-07,0,0
440,SPHK1,-0.788796711,2.49E-07,1.358,5.61E-09
